,Incumbent,Name,Office,Party,Percent,Won,Year,CF_ID,Committee_Name,Individual,sub_100,Candidate_Committee,Ind_DE,Self,PAC,National_Sub_Committees,Contrib_Total,Candidate Expenses,Contributions,Field Expenses,Fund Raiser,Mail,Media,Printing and Campaign Materials,Rent and Other Office expenses,Salaries and Other compensation,smol,Expend_Total
16,0,DANIEL KAPITANIC,STATE SENATOR DISTRICT 11,R,24.25,0.0,2018.0,1004442,Friends of Kapitanic for 11th District Senate,0.0,370.0,0.0,2051.0,0.0,600.0,0.0,3021.0,1811.0,0.0,0.0,20.49,0.0,495.57,1122.57,0.0,0.0,0.0,3449.6299999999997
17,1,COLIN BONINI,STATE SENATOR DISTRICT 16,R,55.09,1.0,2018.0,1000023,Citizens For Colin Bonini,2300.0,0.0,1800.0,19125.0,0.0,12250.0,0.0,35475.0,0.0,550.0,0.0,764.0,28558.88,1433.0,8629.73,0.0,0.0,0.0,39935.61
18,0,LOUISA PHILLIPS,STATE SENATOR DISTRICT 16,D,44.91,0.0,2018.0,1004453,UNKNOWN COMMITTEE,200.0,2513.46,2050.0,6900.0,6500.0,6650.0,0.0,24813.46,0.0,0.0,1160.8300000000002,560.76,4021.08,2572.87,12750.730000000001,534.62,1000.0,404.75,23005.639999999992
19,0,W CHARLES PARADEE III,STATE SENATOR DISTRICT 17,D,64.27,1.0,2018.0,1004148,Committee To Elect Paradee,4109.0,9482.0,7900.0,28440.0,0.0,37501.0,0.0,87432.0,1811.0,1000.0,2720.9400000000005,6189.859999999999,16197.53,39136.95,17035.809999999998,881.0799999999999,6700.0,474.3,92147.46999999996
20,0,JUSTIN KING,STATE SENATOR DISTRICT 17,R,35.73,0.0,2018.0,1004156,Campaign to Elect Justin King,2125.0,2478.2200000000003,1800.0,25832.75,0.0,16350.0,0.0,48585.97,1811.0,900.0,2505.29,7568.8099999999995,8389.49,18068.33,18398.3,500.0,0.0,0.0,58141.22000000002
21,0,DAVID L WILSON,STATE SENATOR DISTRICT 18,R,65.17,1.0,2018.0,1004288,Friends to Elect Dave Wilson II,0.0,1695.0,0.0,6330.0,0.0,13125.0,0.0,21150.0,1811.0,0.0,250.0,3766.02,0.0,2805.0,9030.22,0.0,0.0,60.0,17722.24
22,0,JAMES A PURCELL,STATE SENATOR DISTRICT 18,D,34.83,0.0,2018.0,1004461,UNKNOWN COMMITTEE,0.0,300.0,600.0,850.0,800.0,2000.0,300.0,4850.0,0.0,0.0,0.0,22.84,0.0,3805.78,241.58,250.0,0.0,0.0,4320.200000000001
23,1,BRYANT L RICHARDSON,STATE SENATOR DISTRICT 21,R,65.03,1.0,2018.0,1002741,Richardson for State Senate,1500.0,7154.7,1800.0,13537.48,2447.5,12650.0,0.0,39089.67999999999,0.0,0.0,225.0,734.6999999999999,352.48,23231.83,19262.61,90.96,0.0,0.0,43897.58
24,0,ROBERT C WHEATLEY,STATE SENATOR DISTRICT 21,D,34.97,0.0,2018.0,1004343,Friends Of Bob Wheatley,4050.0,4592.049999999999,4700.0,23975.0,3176.93,13425.0,0.0,53918.979999999996,1811.0,0.0,1376.45,522.56,1230.25,26190.5,12058.170000000002,83.88,0.0,0.0,43272.80999999997
25,0,NNAMDI O CHUKWUOCHA,STATE REPRESENTATIVE DISTRICT 1,D,100.0,1.0,2018.0,1004439,Friends of Nnamdi Chukwuocha - State Representative 1st,1000.0,4520.0,800.0,19850.0,2788.61,12020.0,0.0,40978.61,0.0,0.0,6093.71,1196.68,3575.72,2376.58,7941.01,0.0,0.0,0.0,21183.7
